"Year","N"
2000,220332.730943248
2001,217398.913345486
2002,214520.05784906
2003,211852.207139397
2004,209570.980941491
2005,207604.488565214
2006,205710.761275152
2007,203890.255586663
2008,202193.219745451
2009,200703.783918141
2010,199548.414241296
2011,198448.323418224
2012,197010.716688007
2013,194958.944033362
2014,192265.042195644
2015,189185.904957472
2016,185974.565648594
2017,182804.184252489
2018,179777.977501561
2019,176934.204290705
2020,174246.992162758
2021,171639.657778661
2022,169003.640541822
2023,166218.330696885
2024,163169.827527864
2025,159766.170961805
2026,155946.457943894
2027,151684.255578043
2028,146987.469739622
2029,141896.273683143
2030,136478.967138773
2031,130827.978483598
2032,125055.01531905
2033,119286.42978907
2034,113659.277322279
2035,108316.119843213
2036,103398.116255272
2037,99034.4660333996
2038,95331.2113960564
2039,92360.509549905
2040,90151.704925588
2041,88689.15048487
2042,87915.9215626846
2043,87745.0522980798
2044,88072.3398914287
2045,88786.0635142995
2046,89776.140163058
2047,90941.7166016556
2048,92197.7922745613
2049,93490.8097176984
2050,93490.8097176984
