Year,bn,br
1990,160283,0.016468867
1991,152239,0.015439012
1992,153099,0.015362817
1993,156634,0.015557588
1994,155004,0.015239417
1995,157065,0.01529232
1996,155356,0.014985954
1997,155558,0.014872221
1998,128818,0.012176707
1999,135617,0.012692062
2000,146671,0.013606275
2001,123556,0.011351428
2002,117617,0.010727644
2003,108229,0.009807467
2004,103336,0.009318374
2005,98768,0.008860074
2006,98142,0.008756469
2007,97141,0.008608112
2008,93718,0.008257389
2009,92185,0.008078835
2010,79669,0.006937972
2011,95400,0.008276294
2012,113114,0.009768691
2013,93807,0.008057288
2014,102131,0.008737477
2015,102293,0.008716334
2016,99980,0.008487247
2017,91895.80293,0.007774244
2018,85915.32556,0.007255911
2019,80807.8565,0.00681535
2020,76145.68473,0.006416455
2021,71923.66666,0.006058099
2022,68097.15745,0.00573588
2023,64644.37375,0.005447429
2024,61468.36509,0.005184136
2025,58508.11311,0.004940525
2026,55598.1635,0.004702359
2027,52982.25222,0.004490056
2028,50425.05702,0.004283465
2029,47965.31626,0.004085714
2030,45625.43393,0.003898576
2031,43350.841,0.003717251
2032,41139.75401,0.003541464
2033,38994.4525,0.003371297
2034,36938.25834,0.003208671
2035,35026.27826,0.003058317
2036,33216.72226,0.002916572
2037,31554.44628,0.00278738
2038,30078.5289,0.002674287
2039,28629.41697,0.00256318
2040,27120.2636,0.002446167
2041,25753.61969,0.002341437
2042,24358.93472,0.00223352
2043,23054.66307,0.002133181
2044,21782.96255,0.002035088
2045,20525.66941,0.001937442
2046,19322.73856,0.001843896
2047,18150.60857,0.001752115
2048,17026.40154,0.001663641
2049,15939.2462,0.001577319
2050,15024.65578,0.00150663
2051,14106.47082,0.001434138
2052,13166.4706,0.001357762
2053,12367.4931,0.001294265
2054,11622.68222,0.001234897
2055,10944.6196,0.00118114
2056,10307.90059,0.00113041
2057,9709.916876,0.001082512
2058,9136.069766,0.001035882
2059,8583.561537,0.000990221
2060,8062.588994,0.000946747
2061,7565.067721,0.000904574
2062,7129.845721,0.000868486
2063,6655.310354,0.000826198
2064,6138.481628,0.000776962
2065,5704.915258,0.000736567
2066,5261.092247,0.000693224
2067,4835.01307,0.000650515
2068,4451.937799,0.00061194
2069,4093.059501,0.000575119
2070,3765.881809,0.000541247
2071,3466.238583,0.000509897
2072,3191.395957,0.000480828
2073,2938.832167,0.000453806
2074,2706.293983,0.000428612
2075,2491.746496,0.00040503
2076,2293.565235,0.000382876
2077,2110.365514,0.000361995
2078,1941.31607,0.000342318
2079,1784.8751,0.00032364
2080,1640.115682,0.000305889
2081,1506.343518,0.000289018
2082,1382.671176,0.000272956
2083,1268.430462,0.000257681
2084,1163.041531,0.000243191
2085,1065.916991,0.000229489
2086,976.4744814,0.000216576
2087,894.0642847,0.000204411
2088,818.1471053,0.000192962
2089,748.1411358,0.000182173
2090,683.4409229,0.000171949
2091,623.730146,0.000162254
2092,568.8359861,0.000153107
2093,518.2902641,0.000144428
2094,471.899227,0.000136216
2095,429.3102348,0.000128417
2096,390.2707437,0.000121002
2097,354.5650602,0.000113965
2098,321.9371586,0.000107286
2099,292.1752667,0.000100957
2100,265.0588377,9.50E-05
2101,240.3931582,8.93E-05
2102,217.843314,8.40E-05
