Year,bn,br
1990,176759,0.01695676
1991,168145,0.015952075
1992,168306,0.015817823
1993,169360,0.015777007
1994,168764,0.015591416
1995,169482,0.015538783
1996,168961,0.015373148
1997,169422,0.015310419
1998,140063,0.012546216
1999,148456,0.013203826
2000,160529,0.014190123
2001,134310,0.011789801
2002,129141,0.01128692
2003,119218,0.010379953
2004,114349,0.009930385
2005,107697,0.009331214
2006,107578,0.009304092
2007,106570,0.009193642
2008,102768,0.00885262
2009,99948,0.008596678
2010,86804,0.007459481
2011,102948,0.00884796
2012,121485,0.010431771
2013,101132,0.008663517
2014,109268,0.009351395
2015,110800,0.009471728
2016,107620,0.009188829
2017,98837.84541,0.008433789
2018,92337.73449,0.007889704
2019,86791.01864,0.0074279
2020,81735.20328,0.007009469
2021,77162.57748,0.006633588
2022,73023.34387,0.006295732
2023,69292.53016,0.005993594
2024,65864.86152,0.005717938
2025,62673.86405,0.005462904
2026,59541.428,0.005212865
2027,56727.8252,0.004990564
2028,53980.37072,0.004773741
2029,51339.97807,0.004565917
2030,48830.11597,0.004369126
2031,46391.93192,0.004178037
2032,44023.13111,0.003992352
2033,41725.81361,0.003812182
2034,39524.63895,0.00363972
2035,37478.31702,0.003480377
2036,35541.91712,0.003330055
2037,33763.25752,0.003193319
2038,32184.02593,0.003074332
2039,30633.47615,0.002956943
2040,29018.68205,0.002831973
2041,27556.37307,0.002720431
2042,26064.06015,0.002604345
2043,24668.48948,0.002496191
2044,23307.76993,0.002389738
2045,21962.46627,0.002282841
2046,20675.33026,0.00217981
2047,19421.15117,0.002077917
2048,18218.24965,0.001979051
2049,17054.99343,0.001881924
2050,16076.38168,0.001802736
2051,15093.92378,0.00172076
2052,14088.12355,0.001633522
2053,13233.21761,0.001561235
2054,12436.26997,0.001493461
2055,11710.74297,0.001432043
2056,11029.45363,0.001373905
2057,10389.61106,0.001318838
2058,9775.594649,0.001264977
2059,9184.410844,0.001211981
2060,8626.970224,0.001161364
2061,8094.622462,0.001112095
2062,7628.934921,0.001070094
2063,7121.182079,0.001020241
2064,6568.175342,0.000961579
2065,6104.259326,0.000913638
2066,5629.368705,0.000861823
2067,5173.463985,0.000810572
2068,4763.573445,0.000764245
2069,4379.573666,0.000719881
2070,4029.493535,0.000678978
2071,3708.875284,0.000641003
2072,3414.793674,0.000605651
2073,3144.550419,0.000572643
2074,2895.734562,0.000541706
2075,2666.16875,0.000512585
2076,2454.114802,0.000485102
2077,2258.0911,0.000459103
2078,2077.208194,0.000434556
2079,1909.816357,0.000411269
2080,1754.923779,0.000389176
2081,1611.787564,0.00036825
2082,1479.458159,0.000348427
2083,1357.220594,0.000329671
2084,1244.454438,0.000311954
2085,1140.531181,0.000295249
2086,1044.827695,0.000279505
2087,956.6487846,0.000264633
2088,875.4174027,0.000250565
2089,800.5110153,0.00023721
2090,731.2817875,0.000224457
2091,667.3912562,0.00021228
2092,608.6545052,0.000200702
2093,554.5705825,0.000189641
2094,504.9321729,0.000179117
2095,459.3619512,0.000169084
2096,417.5896957,0.000159529
2097,379.3846144,0.00015047
2098,344.4727597,0.000141896
2099,312.6275354,0.000133805
2100,283.6129564,0.000126194
2101,257.2206793,0.000119068
2102,233.092346,0.000112345
2103,211.1041797,0.000106041
2104,191.1576676,0.000100185
2105,172.978024,9.47E-05
2106,156.4056381,8.96E-05
2107,141.2788724,8.47E-05
2108,127.4736382,8.02E-05
2109,114.8764757,7.59E-05
2110,103.3953632,7.18E-05
2111,92.94633088,6.79E-05
2112,83.44128033,6.42E-05
2113,74.80495075,6.07E-05
2114,66.93399613,5.72E-05
2115,59.81650892,5.39E-05
2116,53.44111161,5.08E-05
2117,47.69752588,4.79E-05
2118,42.55502585,4.51E-05
2119,37.96335126,4.24E-05
2120,33.85759358,4.00E-05
2121,30.19078411,3.76E-05
2122,26.91423708,3.54E-05
2123,23.98565299,3.34E-05
2124,21.36763195,3.15E-05
2125,19.02711474,2.96E-05
2126,16.93484828,2.79E-05
2127,15.06492611,2.63E-05
2128,13.39425961,2.48E-05
2129,11.90221184,2.33E-05
2130,10.57008378,2.20E-05
2131,9.381373039,2.07E-05
2132,8.321269242,1.95E-05
2133,7.37635782,1.84E-05
2134,6.534637223,1.73E-05
2135,5.785291779,1.63E-05
2136,5.118551465,1.54E-05
2137,4.525619975,1.45E-05
2138,3.99859363,1.36E-05
2139,3.530418442,1.28E-05
2140,3.114776187,1.21E-05
2141,2.74604115,1.14E-05
2142,2.419230686,1.07E-05
2143,2.129844874,1.01E-05
2144,1.873779024,9.50E-06
2145,1.647396939,8.94E-06
2146,1.447399314,8.42E-06
2147,1.270850232,7.92E-06
2148,1.115115183,7.46E-06
2149,0.977825675,7.02E-06
2150,0.856870154,6.61E-06
2151,0.750359916,6.22E-06
2152,0.656613383,5.86E-06
2153,0.574131778,5.52E-06
2154,0.501620728,5.20E-06
2155,0.437914912,4.90E-06
2156,0.381962171,4.62E-06
2157,0.332854544,4.35E-06
2158,0.2897894,4.10E-06
2159,0.252060704,3.86E-06
2160,0.219042679,3.64E-06
2161,0.1901808,3.43E-06
2162,0.164981511,3.23E-06
2163,0.143005599,3.04E-06
2164,0.123864397,2.86E-06
2165,0.107213144,2.70E-06
2166,0.092752099,2.54E-06
2167,0.080207018,2.39E-06
2168,0.069327386,2.25E-06
2169,0.059900492,2.11E-06
2170,0.051735461,1.99E-06
2171,0.044664455,1.87E-06
2172,0.038542774,1.76E-06
2173,0.033244139,1.66E-06
2174,0.028659259,1.56E-06
2175,0.024693398,1.47E-06
2176,0.021264384,1.38E-06
2177,0.018300905,1.30E-06
2178,0.015741037,1.22E-06
2179,0.01353098,1.15E-06
2180,0.011623987,1.08E-06
2181,0.009979442,1.02E-06
2182,0.008562083,9.61E-07
2183,0.007341274,9.04E-07
2184,0.006290411,8.51E-07
2185,0.005386408,8.01E-07
2186,0.004609237,7.54E-07
2187,0.003941532,7.10E-07
2188,0.003368251,6.68E-07
2189,0.002876372,6.29E-07
2190,0.002454631,5.92E-07
2191,0.002093282,5.57E-07
2192,0.001783903,5.25E-07
2193,0.001519211,4.94E-07
2194,0.001292913,4.65E-07
2195,0.001099572,4.38E-07
2196,0.000934503,4.12E-07
2197,0.000793666,3.88E-07
2198,0.000673584,3.65E-07
2199,0.000571267,3.44E-07
2200,0.000484144,3.23E-07
2201,0.000410007,3.05E-07
2202,0.000346964,2.87E-07
2203,0.000293392,2.70E-07
2204,0.000247902,2.54E-07
2205,0.000209303,2.39E-07
2206,0.000176578,2.26E-07
2207,0.000148855,2.12E-07
2208,0.00012539,2.00E-07
2209,0.000105545,1.88E-07
2210,8.88E-05,1.77E-07
2211,7.46E-05,1.67E-07
2212,6.27E-05,1.57E-07
2213,5.26E-05,1.48E-07
2214,4.42E-05,1.39E-07
2215,3.70E-05,1.31E-07
2216,3.10E-05,1.23E-07
