Age,ax_m,bx_m,ax_f,bx_f
0,-4.905119768,0.013323289,-5.058830451,0.011474937
1,-6.698914809,0.030877631,-6.809209669,0.0249477
2,-7.108797398,0.026829124,-7.271697293,0.021065143
3,-7.438366878,0.024006598,-7.64871702,0.01880997
4,-7.660599434,0.022264248,-7.935086538,0.017060681
5,-7.766389026,0.022257951,-8.107968645,0.015697161
6,-7.861783204,0.021815649,-8.229491002,0.014066762
7,-7.999220157,0.021777507,-8.33914394,0.012808894
8,-8.161794264,0.022322886,-8.442339812,0.012412172
9,-8.302967133,0.022636811,-8.506427443,0.012249905
10,-8.350700964,0.022249772,-8.526240045,0.01256803
11,-8.275502941,0.021183832,-8.489401991,0.012956863
12,-8.069832002,0.019498742,-8.401339269,0.013070329
13,-7.780093121,0.017452468,-8.265207258,0.012747202
14,-7.48481578,0.015649275,-8.109456023,0.012291711
15,-7.206191092,0.015410221,-7.952681534,0.012029846
16,-7.011541615,0.014590073,-7.823792315,0.011645028
17,-6.880117178,0.014192187,-7.727643091,0.011411823
18,-6.800830769,0.014118659,-7.654986378,0.01157771
19,-6.755258806,0.014139912,-7.605792863,0.011713346
20,-6.728353014,0.014022373,-7.571435344,0.011735201
21,-6.708156781,0.013925041,-7.537765255,0.011656401
22,-6.686962708,0.013674872,-7.511986916,0.011552487
23,-6.659810586,0.013356054,-7.481573628,0.011371534
24,-6.629137191,0.012907076,-7.454678486,0.011074951
25,-6.599059524,0.012298459,-7.425612669,0.010662119
26,-6.564407526,0.011675956,-7.39430053,0.010366095
27,-6.525992623,0.010895697,-7.35875945,0.010035751
28,-6.483437123,0.010015355,-7.3157973,0.009718568
29,-6.435600743,0.009055333,-7.268124333,0.009456448
30,-6.384280192,0.008075776,-7.215189616,0.009281972
31,-6.327325608,0.007193096,-7.160229019,0.009091626
32,-6.265570423,0.006419502,-7.101169486,0.009013974
33,-6.199030736,0.00573623,-7.03726775,0.00906173
34,-6.129557361,0.005162597,-6.969683568,0.009142081
35,-6.055779598,0.004734437,-6.90307692,0.009228182
36,-5.982489139,0.004330414,-6.832173736,0.009278903
37,-5.909723556,0.003945077,-6.760439097,0.009277879
38,-5.836478748,0.003623879,-6.687852213,0.009221869
39,-5.76332021,0.003357291,-6.615517946,0.009107789
40,-5.690570534,0.003131889,-6.53860305,0.009056043
41,-5.618507563,0.002975172,-6.462164915,0.008974144
42,-5.547069043,0.002889703,-6.382022576,0.00891897
43,-5.475831623,0.002862836,-6.29901749,0.008928538
44,-5.405043645,0.002906311,-6.214477387,0.008976985
45,-5.334901629,0.002958335,-6.130364323,0.008992798
46,-5.264775721,0.003098052,-6.044376088,0.009073007
47,-5.19446626,0.003314875,-5.958265228,0.009156754
48,-5.12422793,0.003566603,-5.872458619,0.009247463
49,-5.053653177,0.003861376,-5.786111311,0.009330992
50,-4.983075637,0.004163405,-5.69809564,0.009473795
51,-4.911538316,0.004495535,-5.612418263,0.009560221
52,-4.839093967,0.00482099,-5.526841463,0.009640811
53,-4.765743755,0.00514184,-5.441331728,0.009725025
54,-4.691251378,0.005459739,-5.355643497,0.009804491
55,-4.613713312,0.00585649,-5.269371259,0.009826513
