Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1990,153990,175986,163884,161063,177369,189482,194890,204818,210127,208387,212693,207519,198901,213649,186811,182704,182683,182479,189142,194433,196271,196506,189359,202131,199175,204148,205276,203464,200584,199094,196467,190426,182400,188359,184715,174678,168812,166369,166615,143361,133255,117758,103990,87296,79961,92198,93842,92353,93734,93072,88301,84372,83448,80375,79991,79351,79192,81647,87240,90231,88732,86919,83468,80632,76197,67151,60676,59497,56682,48463,42629,38529,35716,31243,28989,27358,24638,24458,16501,14282,12409,9762,8582,6799,5650,4353,3508,2732,1945,1483,3292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,169026,163555,177621,164607,161500,177399,188661,194188,204454,209828,207244,212421,207236,198310,213167,184447,182076,182287,182882,187830,193825,195141,195504,188639,201645,199707,203574,205381,202955,200244,199112,196075,191085,182259,188770,183761,174787,168662,166018,166388,142485,133182,118127,104582,87533,79908,91844,93535,92224,93453,92546,88167,84272,83207,79874,79142,78324,78172,80757,85986,89029,86857,85525,82055,79093,74521,65402,59520,57842,55068,46612,40671,36997,34184,29655,27049,25613,23034,22520,15013,12836,10998,8619,7504,5850,4913,3680,3000,2232,1631,3521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,161217,174941,163897,178773,165079,161112,176420,188808,194287,203930,209930,207057,212152,207179,197855,212359,184409,181947,182300,181684,188123,193374,194583,195470,187757,201075,198450,201462,203825,201677,199734,197977,195387,190470,181347,187452,183296,174233,168154,165502,165944,142547,132723,118081,104501,87392,79446,91747,93555,91716,93019,91996,87608,83500,82703,78604,78088,77334,77520,79745,84804,87868,85700,84418,80563,77387,72908,64039,57758,56088,52965,45046,39367,35401,32544,27930,25418,24050,21417,21229,13858,11667,9950,7731,6650,5138,4221,3178,2527,1845,4158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,160372,167614,175811,165506,179231,164511,159227,175741,188692,194100,205173,210101,207442,212596,206702,197013,211606,184079,181247,181757,182075,188058,193202,194710,194836,187469,200236,197501,201343,203702,201478,199586,197397,195285,189740,180733,187226,183069,173662,167639,164747,165884,141870,132543,117532,103424,86289,78510,90935,92319,90780,91993,91104,86593,82713,81176,77850,77252,76475,76450,78471,82956,86286,83827,82089,78616,75492,71006,62151,55709,54150,51090,43209,37392,33849,30562,26426,23890,22415,19807,19512,12519,10526,8757,6735,5778,4440,3532,2605,2034,1600,1063,724,459,340,246,152,108,60,40,79
1994,159265,168047,169004,176720,165957,178768,162505,158467,175046,188411,194073,204814,209596,207401,211081,205948,195984,211303,183468,181094,182008,181895,187952,193017,194306,194514,186710,199497,196639,201211,203025,201017,198730,197179,194471,189356,180085,186307,182986,173492,167206,164328,165395,142132,131774,116198,102602,85413,77938,89726,91334,89441,91147,90154,85511,81251,79804,76703,75970,75429,74944,77331,81894,84826,82481,80762,77015,73799,69452,60484,53881,52261,49188,41380,36056,31496,28836,24600,22345,20834,18240,17997,11334,9325,7722,5799,4894,3685,2912,2162,1624,1278,808,535,374,268,184,116,67,45,122
1995,153609,168752,168546,168596,176509,164235,178378,161778,157153,175551,188866,194078,205296,210803,207591,212743,206471,195743,212781,183565,181034,181471,180705,186920,192547,193686,193416,185448,198711,196251,200352,202801,201055,198563,197013,194976,189007,179659,186512,182752,172890,166919,164191,165483,140934,131115,115598,101961,83983,75451,88119,89758,88256,89426,88904,83843,79438,78466,74696,74336,73499,73131,75517,79995,83147,80729,78918,75180,72002,67529,58350,52072,50335,47417,39415,34025,29814,27048,22814,20493,19024,16619,16234,10141,8315,6672,5053,4189,3095,2400,1770,1308,1010,659,451,290,223,144,94,57,164
1996,157466,167055,169187,167819,167377,175873,162073,177442,160814,156429,175087,188213,194012,204375,209949,207061,211669,205961,195326,212044,182842,180507,181219,180209,186327,192197,193084,193131,185376,198586,196312,200522,203003,200984,198579,196832,194500,188875,178922,186202,182070,172345,166137,163215,164533,139740,130336,114776,101189,82937,74654,87151,89048,87350,88477,87784,82796,78603,77365,73848,73324,72344,71660,74225,78542,81488,78900,76996,73233,69875,65385,56209,49953,48128,45074,37180,31967,27794,24976,21126,18605,17309,14962,14533,8955,7175,5750,4290,3495,2591,1973,1437,1034,784,510,334,213,175,112,71,175
1997,158284,166898,166980,168897,167348,166891,175586,161988,177694,160644,155708,174444,188073,193746,204464,209952,206395,211508,205748,194205,212148,182654,180212,180598,179647,185715,191411,192338,192687,184576,197992,195621,199860,202579,200444,197785,196353,194114,188250,178441,185193,181394,171464,165037,162251,163634,138930,129485,113957,100201,81914,73409,86115,88055,86081,87258,86479,81726,77255,76214,72339,71908,70723,70154,72605,76746,79795,77127,75114,71059,67565,63041,53887,47605,45653,42456,34902,29766,25659,22964,19065,16727,15449,13175,12712,7641,6155,4892,3528,2897,2106,1587,1129,808,648,414,267,158,138,101,203
1998,160299,167267,167735,167461,169209,167526,167026,175710,161893,177567,160601,155578,174346,187936,193481,203947,209004,205796,211105,204627,193976,211944,182473,179944,180271,179185,185513,191135,192271,192798,184630,197984,195561,199844,202454,200191,197486,196152,193766,187745,178089,184615,180806,170910,164496,161580,163001,138259,128863,113400,99712,81222,72817,85457,87263,85266,86406,85507,80794,76322,75190,71241,70799,69498,68934,71146,75192,77903,75060,73021,68912,65366,60813,51604,45435,43358,40073,32846,27799,23813,21139,17366,15164,13774,11622,11045,6552,5301,4156,2923,2418,1714,1286,908,625,516,310,208,128,109,275
1999,132759,168132,167791,168195,167876,169550,167867,167300,175876,162048,177688,160749,155664,174459,188078,193590,203859,208832,205619,210618,204503,193869,211795,182302,179808,180194,179172,185609,191299,192491,192936,184793,197987,195568,199808,202357,200073,197287,195823,193495,187470,177747,184140,180292,170407,164003,161027,162435,137655,128298,112884,99177,80731,72351,84854,86576,84567,85586,84589,79857,75369,74116,70169,69692,68242,67636,69621,73522,76045,73074,70842,66715,63179,58640,49424,43421,41093,37801,30836,25873,21936,19393,15789,13624,12229,10207,9712,5639,4500,3477,2424,1944,1377,1019,721,490,421,255,159,98,319
