Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1990,296367,338906,315797,311476,344059,366900,378380,397523,407708,405091,412625,402815,386860,415006,363684,356582,356321,357188,369177,379384,382996,382630,368947,394365,389822,397268,400854,396700,391978,388560,384743,373127,357906,368988,361373,342493,331272,325484,327410,279936,260178,230272,203682,170964,157217,180543,184147,181908,184545,184357,175908,167912,166028,159267,158373,154639,150671,151345,156902,157829,153086,148683,141855,137502,128752,116117,106789,104972,100558,86570,76927,70858,66788,58637,55303,52540,48188,46444,35745,31176,27160,22007,19386,16032,13689,10615,8456,7009,5202,4110,10043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,323952,315676,343036,317688,312936,344892,365846,377907,397140,407503,403351,412333,401810,386219,415076,360369,355467,355632,357495,367509,378175,381185,381194,367781,393801,389974,396305,401093,395714,391471,387984,383996,373509,357382,368647,359562,342268,330660,325012,327142,278350,260208,230725,204352,171602,156841,180187,184228,181874,184412,183576,176173,167590,165904,158733,157115,153469,149411,150125,155161,155806,150332,146844,139752,135212,126612,113814,104831,102564,98629,83959,74052,68470,64365,55964,52078,49532,45283,43314,32739,28496,24423,19618,17163,13899,11946,9053,7218,5770,4279,10560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,308569,335726,316346,344733,318072,311801,342579,365979,377400,396250,407355,403232,411951,401900,385257,413572,360512,354869,355058,356036,367748,377279,380207,380539,365829,392670,387723,392999,398311,394030,390144,386493,382921,373393,356168,367178,358316,341459,330001,323615,325854,278355,259729,230700,204712,171131,156425,180269,183867,181575,183472,183213,175336,166471,165158,156421,155424,151833,148335,148488,153566,153984,148833,145265,137766,133089,124285,111505,102432,100130,95270,81594,71896,65773,61644,52937,49362,46921,42489,40625,30512,26156,22162,17754,15324,12372,10355,7855,6206,4862,11919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,307732,320927,337109,318733,345052,316891,308054,341291,365415,377074,397826,407715,403762,412368,401398,383860,412547,359342,354247,354582,355920,367218,376942,379960,379637,365248,391354,386284,392971,398102,393691,390018,385899,382995,371972,354560,366731,358537,340627,329308,322509,325884,277434,259626,229889,203015,169232,154773,178509,181858,179573,181881,181504,173907,165317,162838,155397,154357,150521,147077,146815,151102,151722,146064,141786,135141,130186,121255,108754,98844,97019,92336,78546,68956,63209,58228,50260,46648,44137,39743,37693,27825,23678,19730,15890,13423,10770,8833,6463,5080,4138,2842,2046,1358,1010,715,430,312,220,124,291
1994,307292,322934,324533,339450,320389,344652,313311,306753,340314,364768,377319,397672,407010,402787,410521,399558,382393,411827,358277,354135,354633,355550,366617,376234,378636,379040,363929,390009,385492,392747,396624,392914,388780,385136,382004,371152,353745,365867,358191,340146,328654,322206,325432,277636,258457,228036,201599,168043,153591,176676,180303,177835,180454,180163,172408,162756,160627,153496,152284,148938,144319,144802,149142,149494,143923,139927,132325,127740,118940,106053,95816,93918,89201,75756,66531,59350,55383,47209,43961,41200,36711,35142,25316,21104,17443,13814,11475,9083,7292,5425,4152,3248,2208,1587,1042,818,549,332,208,162,380
1995,293694,325167,322918,322236,337617,315498,343140,311797,304578,340521,365487,377022,397886,408447,403573,412603,400498,382081,414644,358797,353349,353167,353556,365188,375461,378466,377724,361886,388982,385229,392186,397922,393841,389568,386132,383545,371852,353876,366633,358674,340163,328509,322572,326719,276509,257774,227397,200823,165413,149336,174267,177763,175591,177958,178108,169756,160155,158718,150656,149872,145816,141473,142099,145932,146698,141183,136593,129303,124483,115576,102449,92684,90720,86220,72435,62720,56308,52339,44090,40584,38022,33850,31938,23166,19262,15527,12248,10059,7783,6173,4570,3407,2650,1820,1333,864,645,419,259,177,497
1996,303078,320705,325705,321177,319820,335718,311697,341408,309719,302817,339498,364573,376476,396485,407207,402844,411221,399826,381098,413346,357468,352513,352469,352828,364293,375352,377604,377434,361639,388986,384949,392295,398310,393583,389240,385486,382666,371417,352898,365913,357419,339218,327192,321199,325210,274685,256395,226063,199543,163921,148235,172619,176731,174236,176543,176697,168270,158912,157096,149216,148020,144210,139298,139972,143716,144154,138352,133727,126336,121105,112204,99165,89359,87186,82212,68707,59430,52904,48769,41113,37328,35017,30727,28824,20679,16745,13498,10408,8519,6543,5074,3667,2710,2068,1405,1010,623,481,319,181,505
1997,303837,321495,320549,325205,319889,318377,334924,311134,341716,309226,301323,338461,364115,375865,396427,407244,401864,411163,399720,379618,413307,356742,351753,351410,351602,363237,374036,376689,376558,360595,388459,384097,391388,397617,392759,388030,384720,382125,370342,351990,364540,356469,338034,325614,319442,323677,273644,255212,224765,198190,162105,146179,171093,175227,172441,174632,174785,166659,156979,155245,146969,146057,141772,137033,137454,141044,141354,135533,130659,122878,117593,108611,95527,85626,83180,78040,65004,55790,49409,45179,37591,33982,31583,27454,25570,17946,14579,11669,8758,7103,5454,4164,2915,2158,1645,1148,782,467,373,257,583
1998,307406,321051,323206,321548,325883,320217,318601,335331,311082,341784,309311,301128,338325,363970,375437,395944,406148,401135,410661,398365,379321,413124,356574,351448,351106,351465,363204,374195,376813,376993,360882,388566,384148,391477,397465,392438,387730,384501,381541,369701,351477,363691,355695,337241,324766,318440,322830,272746,254431,223992,197605,161293,145321,170251,174081,171352,173488,173400,165319,155535,153847,145345,144370,139946,135072,135324,138732,138631,132607,127643,119804,114419,105313,92150,82318,79609,74290,61652,52570,46147,41987,34517,31065,28494,24486,22531,15727,12712,9991,7360,5927,4454,3404,2360,1713,1268,898,589,364,283,717
1999,254776,322470,322134,324123,322386,326628,320862,319169,335645,311368,342033,309642,301356,338566,364242,375756,395979,406084,401099,410360,398417,379496,413504,356931,351922,351727,352174,364089,375140,377697,377740,361495,388973,384536,391772,397709,392645,387765,384334,381414,369550,351211,363269,355205,336780,324250,317938,322250,272099,253847,223411,196954,160628,144734,169464,173196,170357,172365,172079,163948,154113,152248,143711,142605,137990,133062,133037,136181,135810,129648,124511,116614,111127,101996,88828,79156,75977,70689,58338,49410,42999,38862,31733,28251,25584,21800,19925,13669,10878,8504,6111,4815,3584,2745,1834,1313,980,727,456,274,803
2000,270217,266825,323186,322518,324475,322724,326895,320956,319149,335554,311257,341884,309603,301105,338248,364034,375231,395042,405503,400442,409907,398378,379607,413692,357173,352079,351986,352447,364274,375273,377757,377805,361294,388661,384147,391343,397149,391999,386991,383602,380599,368646,350256,362236,354143,335691,323148,316804,321120,271018,252758,222402,195884,159689,143810,168367,172072,169004,170919,170465,162387,152353,150443,141750,140539,135969,130784,130547,133404,132726,126341,121099,113027,107393,98048,85055,75499,72272,66775,54806,45978,39712,35679,28793,25457,22680,19260,17256,11694,9168,7060,5030,3941,2859,2156,1448,1036,750,551,353,866
