"Sex","Age","Weight"
"Male",0,144741.530420014
"Male",1,148555.248620446
"Male",2,152368.966820879
"Male",3,156177.719242405
"Male",4,159831.539362038
"Male",5,163043.405158965
"Male",6,165518.349366121
"Male",7,166960.411560659
"Male",8,167097.467058487
"Male",9,166157.941689318
"Male",10,164873.791264016
"Male",11,163997.827864854
"Male",12,164281.870418324
"Male",13,166450.92264482
"Male",14,170572.519137475
"Male",15,176054.739050597
"Male",16,182278.846332397
"Male",17,188626.104931086
"Male",18,194482.744573781
"Male",19,199356.159992928
"Male",20,202876.897237859
"Male",21,204679.474981032
"Male",22,204400.398206469
"Male",23,201703.980260069
"Male",24,196958.681936718
"Male",25,191230.159389819
"Male",26,185615.849757775
"Male",27,181213.190178995
"Male",28,179081.877872191
"Male",29,179416.57137051
"Male",30,181547.883677314
"Male",31,184769.681032055
"Male",32,188371.857051057
"Male",33,191663.175310493
"Male",34,194253.325588287
"Male",35,196058.882798804
"Male",36,197011.319193131
"Male",37,197040.12071079
"Male",38,196083.711693338
"Male",39,194250.346120943
"Male",40,191822.080235511
"Male",41,189086.929213638
"Male",42,186333.901387701
"Male",43,183833.13513023
"Male",44,181415.793958393
"Male",45,178476.052845559
"Male",46,174389.216805252
"Male",47,168530.590850994
"Male",48,160308.254137092
"Male",49,149882.104744347
"Male",50,138164.85283583
"Male",51,126102.97587118
"Male",52,114641.958154255
"Male",53,104703.448250159
"Male",54,96655.9069537774
"Male",55,90315.6004455581
"Male",56,85471.9796998524
"Male",57,81918.4683141368
"Male",58,79442.5309511997
"Male",59,77787.9334194495
"Male",60,76648.7837382265
"Male",61,75717.2036153083
"Male",62,74686.3079142539
"Male",63,73262.1225237798
"Male",64,71441.667976542
"Male",65,69514.9457606985
"Male",66,67784.8683895647
"Male",67,66554.3483764563
"Male",68,66110.4077421872
"Male",69,66336.8472603379
"Male",70,66720.2053919439
"Male",71,66731.1301055389
"Male",72,65836.2967465311
"Male",73,63527.2095548629
"Male",74,59747.2586509966
"Male",75,54902.6447495095
"Male",76,49417.4453690435
"Male",77,43714.7448724591
"Male",78,38209.6823763659
"Male",79,33121.7453084449
"Male",80,28472.7830958863
"Male",81,24274.7136080663
"Male",82,20542.4341817054
"Male",83,17285.8763746172
"Male",84,14491.1360058627
"Male",85,12116.5005326245
"Male",86,10117.2779447415
"Male",87,8451.75569939629
"Male",88,7076.234942209
"Male",89,5948.00997458101
"Male",90,5022.388786351
"Male",91,4256.66567892039
"Male",92,3609.12810947193
"Male",93,3035.08406784431
"Male",94,2511.69097106618
"Male",95,2029.01726132393
"Male",96,1581.10400392936
"Male",97,1161.99226419432
"Male",98,762.743640086528
"Male",99,378.392352699176
"Female",0,132654.198515773
"Female",1,136220.545458661
"Female",2,139786.892401549
"Female",3,143347.278876009
"Female",4,146764.614108191
"Female",5,149767.696784612
"Female",6,152082.345357573
"Female",7,153431.398045161
"Female",8,153560.541527773
"Female",9,152704.220896918
"Female",10,151583.652832411
"Female",11,150939.922242163
"Female",12,151517.094268296
"Female",13,154028.438299389
"Female",14,158525.611728485
"Female",15,164397.666541691
"Female",16,171005.839205784
"Female",17,177710.372776132
"Female",18,183878.464187941
"Female",19,189028.308909927
"Female",20,192829.100944326
"Female",21,194956.988173202
"Female",22,195087.125067218
"Female",23,192923.475027773
"Female",24,188813.732046511
"Female",25,183746.340471115
"Female",26,178741.533814215
"Female",27,174816.565354229
"Female",28,172953.918970409
"Female",29,173344.329652457
"Female",30,175382.80985491
"Female",31,178426.622398924
"Female",32,181838.990574083
"Female",33,184989.0981384
"Female",34,187522.297220396
"Female",35,189354.14785067
"Female",36,190411.137585276
"Female",37,190620.747391668
"Female",38,189918.405528542
"Female",39,188402.459724964
"Female",40,186334.17718037
"Female",41,183984.759208244
"Female",42,181623.420299262
"Female",43,179500.500127409
"Female",44,177441.158285457
"Female",45,174845.374284965
"Female",46,171092.265997993
"Female",47,165562.938119409
"Female",48,157670.284509034
"Female",49,147577.224637239
"Female",50,136198.690407757
"Female",51,124479.416066462
"Female",52,113366.122682036
"Female",53,103782.682860854
"Female",54,96111.5599937281
"Female",55,90197.7819015239
"Female",56,85862.5345313947
"Female",57,82926.0104190891
"Female",58,81205.4218661414
"Female",59,80396.7849827121
"Female",60,80078.8933332068
"Female",61,79826.5668364119
"Female",62,79211.6451769
"Female",63,77822.8560331235
"Female",64,75579.7330813014
"Female",65,72731.6225840144
"Female",66,69542.7719749139
"Female",67,66278.4220990558
"Female",68,63195.8665102586
"Female",69,60367.6242410657
"Female",70,57685.4134483644
"Female",71,55033.0049978041
"Female",72,52294.1697550346
"Female",73,49355.6588199195
"Female",74,46189.6566731272
"Female",75,42857.7548217492
"Female",76,39421.5447728774
"Female",77,35944.6048564126
"Female",78,32490.5134022561
"Female",79,29114.9014490711
"Female",80,25867.4395670931
"Female",81,22797.798326557
"Female",82,19956.641709103
"Female",83,17390.660050752
"Female",84,15112.7676997652
"Female",85,13102.1030166439
"Female",86,11334.8241276751
"Female",87,9786.09574774122
"Female",88,8435.05623734349
"Female",89,7255.87689995959
"Female",90,6225.70927328132
"Female",91,5322.69830640518
"Female",92,4521.01530280888
"Female",93,3798.80521158892
"Female",94,3139.18003886532
"Female",95,2534.19249340045
"Female",96,1973.90846114728
"Female",97,1448.39382805875
"Female",98,950.694714301934
"Female",99,470.877005829798
