"Year","PopF","PopM","BirthF","BirthM","BirthSR","DeathF","DeathM","MigrationF","MigrationM"
1990,9732485,10424102,0.0164688668926795,0.0169567604000805,1.1,0.00405392726343879,0.00610003523907036,2.70941463744171e-05,-4.92530831178357e-05
1991,9860670,10540635,0.0154390117507228,0.0159520749935844,1.1,0.00398171257985024,0.00613626714059097,0.000311846220304139,0.000771005918413012
1992,9965555,10640276,0.0153628172239278,0.0158178227707627,1.1,0.00411726309912943,0.00624822595246031,-0.000300412350006583,-0.000317975446173287
1993,10068013,10734609,0.0155575881755417,0.0157770068756114,1.08,0.00427549621000744,0.00649729170372876,-0.000220454048077054,-0.000107899881779749
1994,10171255,10824161,0.015239417358035,0.0155914162769752,1.09,0.00425182814702463,0.00660986680592089,0.00026353890290133,0.000130866882702126
1995,10270842,10907032,0.0152923197533367,0.0155387826862523,1.08,0.00442010624693548,0.00676104078088734,-0.000428412707361231,-0.000622924626578022
1996,10366774,10990657,0.0149859541647189,0.0153731483022353,1.09,0.00446751525131083,0.00676452092355752,-0.00137681740028043,-0.00154497164825728
1997,10459635,11065798,0.014872220684565,0.0153104186431019,1.09,0.0044613741074004,0.00673412254847879,0.000957457274959982,0.000116120059926033
1998,10579051,11163764,0.0121767065873867,0.0125462164911404,1.09,0.00447475365978108,0.00691921566021544,0.00149312811587639,0.00073294997555953
1999,10685183,11243408,0.0126920615210802,0.0132038257439381,1.09,0.00482700452092685,0.0071112089584596,0.000591204074698019,5.09794030489684e-05
2000,10779659,11312728,0.0136062745584067,0.014190122842165,1.09,0.00453489649648516,0.00692669403972765,0.000673717511838123,-3.92614838368619e-05
2001,10884622,11392050,0.0113514277298743,0.0117898007821244,1.09,0.00447309035322902,0.00702239953312884,0.000337176827377029,-0.000273349479736252
2002,10963917,11441651,0.0107276441439679,0.01128692004327,1.1,0.00449446133720242,0.00691842327276705,0.000355383130989823,-0.000252577014938494
2003,11035367,11485409,0.00980746720974481,0.0103799525119219,1.1,0.00467686626344996,0.00716380811281051,3.42482568977543e-05,-0.000334513923592708
2004,11089488,11515062,0.00931837430186137,0.00993038509041462,1.11,0.00477902863358711,0.0072948925732233,0.000616107729644378,-0.000150356372080572
2005,11147537,11541585,0.00886007375440871,0.00933121404035927,1.09,0.00500613145824618,0.00769042630096364,0.000980331905422434,4.77960403642687e-05
2006,11207943,11562440,0.00875646851523067,0.00930409152393439,1.1,0.004808924661587,0.00777839905492009,0.00168815669011335,0.000154567065735577
2007,11284820,11591707,0.00860811249093916,0.00919364162672504,1.1,0.00488378918300055,0.00771349908285156,0.0014573456079834,-9.4170431790717e-05
2008,11349593,11608767,0.00825738861296612,0.00885261974850559,1.1,0.00505502380515347,0.00786002165111298,0.00130876694347341,1.69263556597765e-05
2009,11410680,11626351,0.00807883491606109,0.00859667835591752,1.08,0.00528070547595828,0.00811759287028729,0.00214729375067319,-8.26715447315295e-05
2010,11483038,11636734,0.00693797233798234,0.00745948132869583,1.09,0.00512068456960864,0.00802846955308483,0.00134535480042119,-5.67620443923762e-05
