Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1990,142377,162920,151913,150413,166690,177418,183490,192705,197581,196704,199932,195296,187959,201357,176873,173878,173638,174709,180035,184951,186725,186124,179588,192234,190647,193120,195578,193236,191394,189466,188276,182701,175506,180629,176658,167815,162460,159115,160795,136575,126923,112514,99692,83668,77256,88345,90305,89555,90811,91285,87607,83540,82580,78892,78382,75288,71479,69698,69662,67598,64354,61764,58387,56870,52555,48966,46113,45475,43876,38107,34298,32329,31072,27394,26314,25182,23550,21986,19244,16894,14751,12245,10804,9233,8039,6262,4948,4277,3257,2627,6751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,154926,152121,165415,153081,151436,167493,177185,183719,192686,197675,196107,199912,194574,187909,201909,175922,173391,173345,174613,179679,184350,186044,185690,179142,192156,190267,192731,195712,192759,191227,188872,187921,182424,175123,179877,175801,167481,161998,158994,160754,135865,127026,112598,99770,84069,76933,88343,90693,89650,90959,91030,88006,83318,82697,78859,77973,75145,71239,69368,69175,66777,63475,61319,57697,56119,52091,48412,45311,44722,43561,37347,33381,31473,30181,26309,25029,23919,22249,20794,17726,15660,13425,10999,9659,8049,7033,5373,4218,3538,2648,7039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,147352,160785,152449,165960,152993,150689,166159,177171,183113,192320,197425,196175,199799,194721,187402,201213,176103,172922,172758,174352,179625,183905,185624,185069,178072,191595,189273,191537,194486,192353,190410,188516,187534,182923,174821,179726,175020,167226,161847,158113,159910,135808,127006,112619,100211,83739,76979,88522,90312,89859,90453,91217,87728,82971,82455,77817,77336,74499,70815,68743,68762,66116,63133,60847,57203,55702,51377,47466,44674,44042,42305,36548,32529,30372,29100,25007,23944,22871,21072,19396,16654,14489,12212,10023,8674,7234,6134,4677,3679,3017,7761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,147360,153313,161298,153227,165821,152380,148827,165550,176723,182974,192653,197614,196320,199772,194696,186847,200941,175263,173000,172825,173845,179160,183740,185250,184801,177779,191118,188783,191628,194400,192213,190432,188502,187710,182232,173827,179505,175468,166965,161669,157762,160000,135564,127083,112357,99591,82943,76263,87574,89539,88793,89888,90400,87314,82604,81662,77547,77105,74046,70627,68344,68146,65436,62237,59697,56525,54694,50249,46603,43135,42869,41246,35337,31564,29360,27666,23834,22758,21722,19936,18181,15306,13152,10973,9155,7645,6330,5301,3858,3046,2538,1779,1322,899,670,469,278,204,160,84,212
1994,148027,154887,155529,162730,154432,165884,150806,148286,165268,176357,183246,192858,197414,195386,199440,193610,186409,200524,174809,173041,172625,173655,178665,183217,184330,184526,177219,190512,188853,191536,193599,191897,190050,187957,187533,181796,173660,179560,175205,166654,161448,157878,160037,135504,126683,111838,98997,82630,75653,86950,88969,88394,89307,90009,86897,81505,80823,76793,76314,73509,69375,67471,67248,64668,61442,59165,55310,53941,49488,45569,41935,41657,40013,34376,30475,27854,26547,22609,21616,20366,18471,17145,13982,11779,9721,8015,6581,5398,4380,3263,2528,1970,1400,1052,668,550,365,216,141,117,258
1995,140085,156415,154372,153640,161108,151263,164762,150019,147425,164970,176621,182944,192590,197644,195982,199860,194027,186338,201863,175232,172315,171696,172851,178268,182914,184780,184308,176438,190271,188978,191834,195121,192786,191005,189119,188569,182845,174217,180121,175922,167273,161590,158381,161236,135575,126659,111799,98862,81430,73885,86148,88005,87335,88532,89204,85913,80717,80252,75960,75536,72317,68342,66582,65937,63551,60454,57675,54123,52481,48047,44099,40612,40385,38803,33020,28695,26494,25291,21276,20091,18998,17231,15704,13025,10947,8855,7195,5870,4688,3773,2800,2099,1640,1161,882,574,422,275,165,120,333
1996,145612,153650,156518,153358,152443,159845,149624,163966,148905,146388,164411,176360,182464,192110,197258,195783,199552,193865,185772,201302,174626,172006,171250,172619,177966,183155,184520,184303,176263,190400,188637,191773,195307,192599,190661,188654,188166,182542,173976,179711,175349,166873,161055,157984,160677,134945,126059,111287,98354,80984,73581,85468,87683,86886,88066,88913,85474,80309,79731,75368,74696,71866,67638,65747,65174,62666,59452,56731,53103,51230,46819,42956,39406,39058,37138,31527,27463,25110,23793,19987,18723,17708,15765,14291,11724,9570,7748,6118,5024,3952,3101,2230,1676,1284,895,676,410,306,207,110,330
1997,145553,154597,153569,156308,152541,151486,159338,149146,164022,148582,145615,164017,176042,182119,191963,197292,195469,199655,193972,185413,201159,174088,171541,170812,171955,177522,182625,184351,183871,176019,190467,188476,191528,195038,192315,190245,188367,188011,182092,173549,179347,175075,166570,160577,157191,160043,134714,125727,110808,97989,80191,72770,84978,87172,86360,87374,88306,84933,79724,79031,74630,74149,71049,66879,64849,64298,61559,58406,55545,51819,50028,45570,41640,38021,37527,35584,30102,26024,23750,22215,18526,17255,16134,14279,12858,10305,8424,6777,5230,4206,3348,2577,1786,1350,997,734,515,309,235,156,380
1998,147107,153784,155471,154087,156674,152691,151575,159621,149189,164217,148710,145550,163979,176034,181956,191997,197144,195339,199556,193738,185345,201180,174101,171504,170835,172280,177691,183060,184542,184195,176252,190582,188587,191633,195011,192247,190244,188349,187775,181956,173388,179076,174889,166331,160270,156860,159829,134487,125568,110592,97893,80071,72504,84794,86818,86086,87082,87893,84525,79213,78657,74104,73571,70448,66138,64178,63540,60728,57547,54622,50892,49053,44500,40546,36883,36251,34217,28806,24771,22334,20848,17151,15901,14720,12864,11486,9175,7411,5835,4437,3509,2740,2118,1452,1088,752,588,381,236,174,442
1999,122017,154338,154343,155928,154510,157078,152995,151869,159769,149320,164345,148893,145692,164107,176164,182166,192120,197252,195480,199742,193914,185627,201709,174629,172114,171533,173002,178480,183841,185206,184804,176702,190986,188968,191964,195352,192572,190478,188511,187919,182080,173464,179129,174913,166373,160247,156911,159815,134444,125549,110527,97777,79897,72383,84610,86620,85790,86779,87490,84091,78744,78132,73542,72913,69748,65426,63416,62659,59765,56574,53669,49899,47948,43356,39404,35735,34884,32888,27502,23537,21063,19469,15944,14627,13355,11593,10213,8030,6378,5027,3687,2871,2207,1726,1113,823,559,472,297,176,484
